epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1351.97,0.68817,0.4097,0.95824,0.95855,0.96154,0.98079,0.84777,0.63395,0.49589,0.90349,0.0005348,0.0005348,0.0005348
76,1369.62,0.70756,0.4146,0.96681,0.99226,0.92308,0.97863,0.81978,0.7035,0.50728,0.94946,0.000515,0.000515,0.000515
77,1387.21,0.70503,0.41924,0.98009,0.92578,0.95956,0.96808,0.84136,0.64596,0.49629,0.91129,0.0004952,0.0004952,0.0004952
78,1405.45,0.69849,0.40526,0.96219,0.99637,0.92308,0.98498,0.83634,0.61007,0.4458,0.89786,0.0004754,0.0004754,0.0004754
79,1425,0.66352,0.4076,0.95315,0.96143,0.95882,0.99241,0.83002,0.61995,0.44372,0.90137,0.0004556,0.0004556,0.0004556
80,1447.75,0.66169,0.39201,0.94828,0.99406,0.92308,0.99,0.83519,0.61897,0.43558,0.90321,0.0004358,0.0004358,0.0004358
81,1471.27,0.67503,0.40205,0.97953,1,0.9211,0.98893,0.8255,0.66799,0.42869,0.93403,0.000416,0.000416,0.000416
82,1489.64,0.65421,0.38355,0.9397,1,0.91586,0.9872,0.83115,0.68028,0.40917,0.92375,0.0003962,0.0003962,0.0003962
83,1509.72,0.66016,0.39642,0.9574,1,0.94057,0.98402,0.81936,0.68746,0.44552,0.93741,0.0003764,0.0003764,0.0003764
84,1530.7,0.63554,0.38401,0.93805,0.96141,0.95834,0.9864,0.84376,0.65965,0.43974,0.93689,0.0003566,0.0003566,0.0003566
85,1553.29,0.6109,0.38463,0.94225,0.96143,0.95882,0.98946,0.84398,0.62671,0.42491,0.93732,0.0003368,0.0003368,0.0003368
86,1573.12,0.59627,0.36587,0.92841,0.9282,0.99462,0.99,0.85011,0.6289,0.40144,0.94852,0.000317,0.000317,0.000317
87,1593.05,0.58303,0.37103,0.93547,0.99559,0.92308,0.98498,0.83765,0.65721,0.46679,0.96828,0.0002972,0.0002972,0.0002972
88,1614.23,0.57476,0.35257,0.92115,0.99448,0.92308,0.97033,0.83922,0.6575,0.50189,0.94682,0.0002774,0.0002774,0.0002774
89,1634.45,0.61233,0.35936,0.93433,0.96132,0.95612,0.97111,0.82764,0.69987,0.49784,0.96526,0.0002576,0.0002576,0.0002576
90,1652.75,0.60092,0.35492,0.95256,0.99588,0.92308,0.969,0.83714,0.67538,0.48548,0.94775,0.0002378,0.0002378,0.0002378
91,1672.91,0.57015,0.33232,0.90291,0.9607,0.96154,0.96911,0.85012,0.65309,0.49278,0.94063,0.000218,0.000218,0.000218
92,1693.35,0.5525,0.33299,0.89546,0.96103,0.96154,0.97625,0.84913,0.64516,0.48984,0.92967,0.0001982,0.0001982,0.0001982
93,1712.68,0.53996,0.32281,0.89006,0.95912,0.96154,0.98399,0.84273,0.66809,0.46229,0.93941,0.0001784,0.0001784,0.0001784
94,1730.96,0.50812,0.30943,0.86722,0.95931,0.96154,0.98946,0.85376,0.65377,0.41226,0.91832,0.0001586,0.0001586,0.0001586
95,1750.21,0.50422,0.30762,0.88037,0.97195,0.92308,0.98893,0.86196,0.63194,0.39083,0.90299,0.0001388,0.0001388,0.0001388
96,1769.57,0.51004,0.30733,0.86917,0.96148,0.96012,0.99132,0.85308,0.64782,0.38661,0.91433,0.000119,0.000119,0.000119
97,1792.49,0.50578,0.2958,0.873,0.96244,0.98584,0.99241,0.85354,0.64227,0.38929,0.91856,9.92e-05,9.92e-05,9.92e-05
98,1814.86,0.499,0.30254,0.87366,0.99604,0.92308,0.99,0.85172,0.64827,0.38863,0.92219,7.94e-05,7.94e-05,7.94e-05
99,1837.92,0.48391,0.29133,0.87768,0.99593,0.92308,0.99,0.84596,0.65157,0.38663,0.92437,5.96e-05,5.96e-05,5.96e-05
100,1859.85,0.49981,0.29777,0.8735,0.99599,0.92308,0.99,0.85152,0.64349,0.38464,0.91829,3.98e-05,3.98e-05,3.98e-05
